Site ,Date,Niskin #,Pressure (Depth),Sample ,Phosphate,Silicate,N+N,Ammonia,N*
CHB  (Stetson),6/13/2018,,40,14a,0.083612483,0.938349883,0.195495037,0.030040231,1.757695306
CHB  (Stetson),6/13/2018,,5,15a,0.080809376,0.955004014,0.082290187,0.029143508,1.689340171
SAV (Savannah deep),6/14/2018,,781,16a,1.580089487,13.48133974,21.19968549,<0.019,-1.181746301
SAV (Savannah deep),6/14/2018,,250,17a,0.069596947,0.804422907,1.393031692,<0.019,3.179480537
SAV (Savannah deep),6/14/2018,,140,18a,0.064670274,0.800259375,1.332189669,<0.019,3.197465287
SAV (Savannah deep),6/14/2018,,50,19a,0.067728209,1.025090152,0.043334137,<0.019,1.859682793
SAV (Savannah deep),6/14/2018,,5,20a,0.088241857,1.216959627,0.02760876,<0.019,1.515739045
WIL,6/16/2018,,420,21a,1.909964239,17.40720431,27.11028315,0.120481183,-0.54914468
WIL,6/16/2018,,200,22a,0.714821259,4.308382812,9.587298184,0.192347151,1.050158032
WIL,6/16/2018,,100,23a,0.095037269,1.148608295,1.588084452,0.06962416,2.967488155
WIL,6/16/2018,,45,24a,0.077326728,0.655923567,0.050392688,0.024467736,1.713165046
WIL,6/16/2018,,5,25a,0.079110523,1.439708637,0.059148864,0.08807104,1.693380494
VAC (Virginia Inter-Canyon),6/22/2018,,215,26a,0.901567659,6.480359147,10.37615818,0.134508497,-1.14892436
VAC (Virginia Inter-Canyon),6/22/2018,,170,27a,1.207106344,8.876125376,18.29433261,<0.019,1.880631107
VAC (Virginia Inter-Canyon),6/22/2018,,110,28a,0.67884805,4.533907512,9.234191975,0.07654174,1.272623169
,,,,,,,,,
