Sample ID,Sample ID 2,Ala,Ala.sd,Asx,Asx.sd,Glx,Glx.sd,Gly,Gly.sd,His,His.sd,Ile,Ile.sd,Leu,Leu.sd,Lys,Lys.sd,Met,Met.sd,Phe,Phe.sd,Thr,Thr.sd,Tyr,Tyr.sd,Val,Val.sd
R5,Macroalgae,-15.5,0.1,-15.4,0,-17.6,0.6,-13.7,0,,,-19.5,0.1,-22.5,0.1,-16.4,0.4,,,-25.3,0.1,-15.3,0.1,-24.2,0,-22.4,0
R6,Macroalgae,-11.4,0.1,-11.4,0.1,-14.8,0,-9.8,0.1,-14.2,,-16.5,0.1,-21,0.4,-13.1,0.1,,,-21.1,0.1,-8.7,0.1,-19.8,0.1,-20.7,0.2
R7,Macroalgae,-12.1,0.1,-12.4,0.5,-15.4,0.1,-9.9,0,,,-16.7,0.2,-21,0.3,-11,0.1,-15.3,0.1,-21.1,0.3,-5.9,0.3,-19.5,0.4,-20.3,0
R8,Macroalgae,-14.7,0.3,-14.5,0.7,-16.1,0.4,-14.5,0.1,,,-18,0.1,-23.5,0,-15.8,0.4,-17.9,,-22,0,-7.3,1.1,-21.2,0.3,-23.6,0
R9,Macroalgae,-11.9,0.1,-13.2,0.1,-15.6,0.1,-10.7,0.1,-16.4,0.4,-20.4,0.2,-23.4,0,-13.3,0.1,-17.3,0.5,-22.5,0.1,-6.8,1,-20.1,0,-20.9,0.1
P1,Macroalgae,-13.6,0.2,-4.6,0.3,-12.7,0.1,-12.1,0.1,-13.2,0.3,-17.6,0.2,-23.1,0.2,-11.1,0.1,-14.1,0.2,-19.4,0.1,-3.6,0.2,-18.6,0.1,-18.8,0.1
P2,Macroalgae,-10.3,0.3,-1.9,0.7,-11.4,0.1,-9.6,0.3,-12.6,0.3,-15.2,0.1,-21.5,0.2,-9.1,0.2,-13,0.1,-19.1,0.2,-1.2,0.5,-18.2,0.1,-17,0.1
P3,Macroalgae,-15.2,0.3,-5.6,0.7,-15.6,0.1,-15.7,0.3,,,-19.6,0.4,-24.8,0.1,-12.7,0.3,-16,0.4,-22.2,0.1,-5.5,0.1,-21.1,0.1,-20.7,0
P4,Macroalgae,-11.9,0.3,-2.4,0.2,-11.6,0.1,-10.3,0,-12,0.9,-16.8,1.4,-20,0.1,-9.9,0.1,-13.1,0.3,-18.9,0.1,-0.4,0.3,-18,0.2,-15.7,0.1
P5,Macroalgae,,0.4,-9.2,0.2,-18,0.1,-17.2,0.1,-16.7,0.5,-21.4,0.1,-26.1,0.2,-14.1,0.1,-17.5,0.1,-23.9,0,-6.4,0.2,-22.2,0.2,-22.5,0.1
