Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed
jack-4684-bc1,,A84016-112,112,5797,0.93,0.0035,-70.0,-76.2,-16.0,580,30,2006
jack-4684-bc1,,A84016-121,121,6303,0.93,0.0032,-71.3,-77.6,-16.1,595,25,2006
jack-4684-bc1,,A84016-130,130,6837,0.93,0.0035,-75.0,-81.3,-15.3,625,30,2006
jack-4684-bc1,,A84016-140,140,7568,0.91,,-86.9,-93.0,-15.8,730,40,2006
jack-4684-bc1,,A84016-143,143,7750,0.93,0.0037,-72.5,-78.7,-15.1,605,30,2006
jack-4684-bc1,,A84016-147,147,7970,0.92,,-78.9,-85.1,-16.2,660,40,2006
jack-4684-bc1,,A84016-153,153,8212,0.93,0.0035,-69.3,-75.6,-15.3,575,30,2006
jack-4684-bc1,,A84016-159,159,8492,0.92,,-81.2,-87.4,-15.9,680,40,2006
jack-4684-bc1,,A84016-165,165,9521,0.91,,-91.4,-97.5,-16.2,770,35,2006
jack-4684-bc1,,A84016-172,172,10307,0.89,,-110.4,-116.4,-16.5,940,40,2006
stet-4904-bc1-d5,N104995,STET 1,1,18,1.07,0.003579336,73.9,,-15.0,,,2013
stet-4904-bc1-d5,N104996,STET 1.7,1.7,144,1.07,0.004753596,65.5,,-15.0,,,2013
stet-4904-bc1-d5,N104997,STET 1.16A,1.16A/1.16B,306,0.95,0.00333816,-46.1,,-15.0,380,30,2013
stet-4904-bc1-d5,N104998,STET 1.16B,1.16A/1.16B,306,0.95,0.003873796,-52.1,,-15.0,430,35,2013
stet-4904-bc1-d5,N104999,STET 1.24,1.24,450,0.94,0.003632857,-55.4,,-15.0,460,35,2013
stet-4904-bc1-d5,N105000,STET 1.32,1.32,594,0.94,0.003938394,-55.8,,-15.0,460,35,2013
stet-4904-bc1-d5,N105001,STET 1.41,1.41,756,0.94,0.003282919,-61.5,,-15.0,510,30,2013
stet-4904-bc1-d5,N105002,STET 1.57,1.57,1044,0.93,0.003244064,-73.7,,-15.0,615,30,2013
stet-4904-bc1-d5,N105003,STET 1.83*,1.83*,1512,0.92,0.003212577,-83.2,,-15.0,700,30,2013
