Sample ID,Sample ID2,Region,Source,Bulk,Glu,Asp,Ala,Ile,Leu,Pro,Val,Gly,Ser,Lys,Tyr,Phe,Thr,Met,Arg
,,,Sherwood 2014,,,,,,,,,,,,,,,,
,,,Sherwood 2011,,,,,,,,,,,,,,,,
