"","coral.id","sampler","sample.no.","distance..mm.","d15n.vs.air","d13c.vs.vpdb","treatment","linear.bp.min95","linear.bp.max95","linear.bp.fit","year.ad","min.ad","max.ad","d15n.ra","d13c.ra"
"366","stet-4904-bc1-d2","john",366,10.61,6.77,-15.89,"a",1240,1431,1320,630,710,519,6.66333333333332,-15.82
"367","stet-4904-bc1-d2","john",367,10.64,6.73,-15.83,"a",1244,1435,1323,627,706,515,6.74333333333332,-15.8466666666667
"368","stet-4904-bc1-d2","john",368,10.67,6.74,-16.05,"a",1247,1439,1327,623,703,511,6.74666666666665,-15.9233333333333
"369","stet-4904-bc1-d2","john",369,10.7,6.95,-15.94,"a",1251,1443,1331,619,699,507,6.80666666666665,-15.94
"370","stet-4904-bc1-d2","john",370,10.73,6.84,-15.68,"a",1254,1447,1335,615,696,503,6.84333333333332,-15.89
"371","stet-4904-bc1-d2","john",371,10.76,6.91,-15.59,"a",1258,1451,1339,611,692,499,6.89999999999998,-15.7366666666667
"372","stet-4904-bc1-d2","john",372,10.79,7.09,-15.37,"a",1261,1456,1342,608,689,494,6.94666666666665,-15.5466666666667
"373","stet-4904-bc1-d2","john",373,10.82,7.82,-15.59,"a",1265,1460,1346,604,685,490,7.27333333333332,-15.5166666666667
"374","stet-4904-bc1-d2","john",374,10.85,7.5,-15.94,"a",1268,1464,1350,600,682,486,7.46999999999998,-15.6333333333333
"375","stet-4904-bc1-d2","john",375,10.88,7.8,-15.77,"a",1272,1468,1354,596,678,482,7.70666666666665,-15.7666666666667
"376","stet-4904-bc1-d2","john",376,10.9,7.86,-16.05,"a",1274,1471,1356,594,676,479,7.71999999999998,-15.92
"377","stet-4904-bc1-d2","john",379,10.99,7.98,-16.08,"a",1285,1483,1367,583,665,467,7.87999999999998,-15.9666666666667
"378","stet-4904-bc1-d2","john",380,11.02,7.78,-15.78,"a",1288,1487,1371,579,662,463,7.87333333333332,-15.97
"379","stet-4904-bc1-d2","john",381,11.05,7.57,-16.48,"a",1292,1491,1375,575,658,459,7.77666666666665,-16.1133333333333
"380","stet-4904-bc1-d2","john",382,11.08,7.62,-16.02,"a",1295,1495,1379,571,655,455,7.65666666666665,-16.0933333333333
"381","stet-4904-bc1-d2","john",383,11.11,7.56,-16.32,"a",1299,1499,1382,568,651,451,7.58333333333332,-16.2733333333333
"382","stet-4904-bc1-d2","john",384,11.14,7.33,-16.39,"a",1302,1503,1386,564,648,447,7.50333333333332,-16.2433333333333
"383","stet-4904-bc1-d2","john",385,11.17,7.17,-16.79,"a",1306,1508,1390,560,644,442,7.35333333333332,-16.5
