depth,d13N,d13C
1.829,9.511103386,-24.88056673
1.947,9.089792388,-18.58706523
2.006,8.085516291,-17.01869742
2.065,9.6545714,-15.66365167
2.124,8.994820604,-17.03271859
2.183,9.048368524,-17.83092366
2.242,9.243363783,-17.45335364
2.301,9.027151424,-17.56552298
2.36,8.200694837,-16.23952108
2.419,8.311832031,-18.19547404
2.478,8.042071751,-17.5835502
2.537,8.139064211,-18.94360351
2.596,8.517941009,-24.52502996
2.655,8.106733391,-2.90038257
2.714,9.350459624,-13.53443713
2.773,8.179477737,-3.580409227
2.891,8.125929816,-17.8419403
3.009,8.273439182,-17.52846704
3.068,8.43610362,-1.598416952
3.127,8.336080146,-18.29161919
3.245,8.26939783,-17.80388284
3.304,8.070361219,-16.85244643
3.363,8.583612987,-16.07527311
3.481,8.197663823,-15.99214761
3.599,7.962709496,-16.19730134
3.658,7.654558032,-16.57688507
3.717,7.744477639,-16.46482711
3.776,7.492904805,-16.59202804
3.835,7.556555763,-16.60212335
3.894,8.21428233,-16.35377868
3.953,8.238530314,-16.37901696
4.012,7.786911612,-16.09735775
4.071,8.781078957,-16.02063337
4.13,8.170838026,-16.31541649
4.189,8.203168671,-16.3255118
4.248,7.872789888,-16.54256101
4.307,7.984936815,-16.42848399
4.366,7.968771492,-16.4708843
4.425,7.842479908,-16.46179852
4.484,8.243581978,-16.34469289
4.543,7.9566475,-15.97116634
4.602,7.658599363,-16.39516946
4.661,8.434534852,-16.2609018
4.72,8.409276535,-16.20537759
4.779,7.414098857,-16.44362695
4.838,7.727301984,-16.33257852
4.897,7.801056269,-16.16297728
4.956,7.550493767,-16.11149118
5.015,8.019288125,-16.32248321
5.074,8.052629103,-16.28916868
5.133,7.889965544,-16.37295977
5.192,8.041515444,-16.59101851
5.251,7.931389183,-16.2154729
5.369,8.074856422,-16.39214086
5.487,7.822273255,-16.02971916
5.546,7.872789888,-16.23566352
5.605,8.598208744,-15.81367947
5.664,7.743467307,-16.06101462
5.723,7.708105663,-16.14177712
5.782,8.084959749,-15.75815526
5.841,7.745487972,-16.16802493
5.9,8.043536109,-16.03981447
5.959,7.842479908,-16.2154729
6.018,7.923306522,-16.20739665
6.077,7.871779556,-16.2285968
6.136,8.152652038,-16.16095821
6.195,8.780068625,-15.85305119
6.254,8.110218065,-16.76768647
6.313,8.071825424,-15.80055557
6.372,8.512330468,-15.79853651
6.431,8.06273243,-16.04789072
6.549,7.39085248,-15.77933172
6.608,7.631670408,-15.9462704
6.667,7.660001929,-16.03577368
6.726,7.717676811,-15.69686803
6.785,7.755114893,-15.80447309
6.844,8.105211545,-15.70692458
6.903,8.411799075,-15.70692458
6.962,8.341982113,-15.60736476
7.021,8.158839067,-15.97845136
7.08,7.992897301,-16.00459838
7.139,7.633694088,-16.36965104
7.198,7.98075522,-15.91911773
7.257,7.892725137,-14.37040945
7.316,8.27115331,-15.32175882
7.375,8.111282585,-15.37405287
7.434,8.482627878,-15.34690019
7.493,8.112294425,-15.92716296
7.552,8.178064027,-15.46053917
7.611,7.940281619,-15.45450524
7.67,8.293413791,-15.52389542
7.729,8.446201637,-15.32477578
7.788,8.220561309,-15.50277667
7.847,7.868440976,-14.5936648
7.906,8.27115331,-15.18599543
7.965,8.364230684,-15.97762731
8.024,8.351084102,-15.69480489
8.083,8.136693682,-15.46672229
8.142,7.76049917,-15.46773599
8.201,8.636263812,-15.02069411
8.319,8.038599951,-14.63548794
8.378,8.299509048,-14.97913239
8.437,7.568356812,-15.34507824
8.496,8.048712707,-16.16212079
8.555,7.441947366,-15.74954471
8.614,7.876795861,-15.60864035
8.673,7.862638003,-15.38055776
8.732,7.617909315,-16.16718929
8.85,7.461161602,-15.77894203
8.909,7.683642227,-15.50929771
8.968,7.91117923,-15.36028375
9.027,7.419699304,-15.53464022
9.086,7.565322986,-15.59343485
9.145,7.852525247,-15.85902436
9.263,7.697800085,-15.42921538
9.322,9.04987552,-15.31466723
9.381,7.575435741,-15.69075009
9.44,8.161975571,-15.55390053
9.499,8.470414619,-15.33798234
9.558,8.186246184,-15.08861203
9.617,8.273215883,-15.37042075
9.676,8.620083403,-15.02272151
9.794,8.184223633,-15.18491358
9.853,8.055791636,-15.29236582
9.912,8.428952321,-14.42869306
9.971,8.112423068,-13.40688303
10.03,8.338948795,-15.0135982
10.089,8.204449145,-15.57518824
10.148,7.456105224,-15.70392819
10.207,7.913201781,-16.21179211
