depth	min95%	max95%	best	acc.rate
1.83	33	52	40	47.56
1.95	39	57	45	47.56
2.01	42	60	48	47.56
2.07	44	63	51	47.56
2.12	47	65	53	47.56
2.18	49	68	56	47.56
2.24	52	71	59	47.56
2.3	55	74	62	47.56
2.36	58	76	65	47.56
2.42	60	79	68	47.56
2.48	63	82	71	47.56
2.54	66	85	73	47.56
2.6	69	88	76	47.56
2.66	71	91	79	47.56
2.71	74	93	81	47.56
2.77	76	96	84	47.56
2.89	82	101	90	47.56
3.01	87	107	96	47.56
3.07	90	109	99	47.56
3.13	93	112	101	47.56
3.25	98	118	107	47.56
3.3	101	120	110	47.56
3.36	103	123	112	47.56
3.48	109	129	118	47.56
3.6	114	135	124	47.56
3.66	117	138	127	47.56
3.72	120	140	130	47.56
3.78	122	143	132	47.56
3.84	125	146	135	47.56
3.89	127	149	138	47.56
3.95	130	152	140	47.56
4.01	133	154	143	47.56
4.07	136	158	146	47.56
4.13	138	160	149	47.56
4.19	141	163	152	47.56
4.25	144	166	155	47.56
4.31	146	169	158	47.56
4.37	149	172	160	47.56
4.43	152	175	163	47.56
4.48	154	177	166	47.56
4.54	157	180	169	47.56
4.6	160	183	171	47.56
4.66	162	186	174	47.56
4.72	165	189	177	47.56
4.78	168	192	180	47.56
4.84	171	195	183	47.56
4.9	173	198	186	47.56
4.96	176	201	189	47.56
5.02	179	204	191	47.56
5.07	181	206	194	47.56
5.13	184	209	197	47.56
5.19	186	212	199	47.56
5.25	189	215	202	47.56
5.37	194	221	208	47.56
5.49	200	227	214	47.56
5.55	202	230	217	47.56
5.61	205	233	219	47.56
5.66	207	236	222	47.56
5.72	210	239	225	47.56
5.78	213	242	228	47.56
5.84	215	245	230	47.56
5.9	218	248	233	47.56
5.96	221	251	236	47.56
6.02	223	254	239	47.56
6.08	226	257	242	47.56
6.14	229	260	245	47.56
6.2	231	263	247	47.56
6.25	234	266	250	47.56
6.31	236	269	253	47.56
6.37	239	272	256	47.56
6.43	241	275	258	47.56
6.55	247	281	264	47.56
6.61	249	284	267	47.56
6.67	252	287	270	47.56
6.73	255	290	273	47.56
6.79	257	293	276	47.56
6.84	260	295	278	47.56
6.9	262	298	281	47.56
6.96	265	301	284	47.56
7.02	268	304	286	47.56
7.08	270	307	289	47.56
7.14	273	310	292	47.56
7.2	276	313	295	47.56
7.26	278	316	298	47.56
7.32	281	319	301	47.56
7.38	284	322	304	47.56
7.43	286	325	306	47.56
7.49	289	328	309	47.56
7.55	291	331	312	47.56
7.61	294	334	315	47.56
7.67	297	337	317	47.56
7.73	299	340	320	47.56
7.79	302	343	323	47.56
7.85	305	346	326	47.56
7.91	307	349	329	47.56
7.97	310	351	332	47.56
8.02	312	354	334	47.56
8.08	315	357	337	47.56
8.14	318	360	340	47.56
8.2	320	363	343	47.56
8.32	326	369	348	47.56
8.38	328	372	351	47.56
8.44	331	375	354	47.56
8.5	334	378	357	47.56
8.56	336	381	360	47.56
8.61	339	383	362	47.56
8.67	341	386	365	47.56
8.73	344	389	368	47.56
8.85	349	395	374	47.56
8.91	352	398	376	47.56
8.97	354	401	379	47.56
9.03	357	404	382	47.56
9.09	360	407	385	47.56
9.15	362	410	388	47.56
9.26	367	416	393	47.56
9.32	370	419	396	47.56
9.38	373	422	399	47.56
9.44	375	425	402	47.56
9.5	378	428	404	47.56
9.56	381	431	407	47.56
9.62	384	434	410	47.56
9.68	386	437	413	47.56
9.79	391	443	418	47.56
9.85	394	446	421	47.56
9.91	397	449	424	47.56
9.97	399	452	427	47.56
10.03	402	455	430	47.56
10.09	405	458	432	47.56
10.15	407	461	435	47.56
10.21	410	464	438	47.56
