lab_ID,C14_age,cal_age,error,reservoir,depth,thickness
surface,,-54,1,,0,
1,-685,,,,0.022,0.06
2,-736,,,,0.105,0.06
3,-729,,,,0.121,0.06
8,-1017,,,,0.27,0.06
9,-889,,,,0.369,0.06
10,-706,,31,,0.545,0.06
13,430,,40,,0.682,0.06
14,430,,40,,0.737,0.06
17,360,,40,,0.963,0.06
18,410,,40,,1.029,0.06
20,365,,35,,1.139,0.06
30,405,,25,,1.634,0.06
40,415,,25,,2.305,0.06
42,520,,40,,2.448,0.06
50,385,,30,,2.855,0.06
63,495,,30,,3.416,0.06
71,470,,30,,3.63,0.06
81,530,,30,,3.993,0.06
85,530,,40,,4.268,0.06
91,610,,30,,4.576,0.06
101,515,,30,,5.055,0.06
110,590,,40,,5.66,0.06
112,580,,30,,5.797,0.06
121,595,,25,,6.303,0.06
130,625,,30,,6.837,0.06
140,730,,40,,7.568,0.06
143,605,,30,,7.75,0.06
147,660,,40,,7.97,0.06
153,575,,30,,8.212,0.06
159,680,,40,,8.492,0.06
165,770,,35,,9.521,0.06
172,940,,40,,10.307,0.06
