Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed,calib median age,calib 2sigma min,calib 2sigma max,deltaR Lighty et. al. 1982,clam 2sigma min,clam 2sigma max,prob,median
sav-4902-bc1,,JSL054902-9,9,1690,0.872,,-128,-133.9,-16.1,1100,40,2006,660,,,,591,730,91.9,661
sav-4902-bc1,,JSL054902-25,25,7200,0.8297,,-170.3,-175.9,-15.6,1500,50,2006,1052,,,,936,1170,95,1053
sav-4902-bc1,,JSL054902-35,35,9910,0.8338,,-166.2,-171.8,-16,1460,40,2006,1007,,,,918,1115,95,1017
sav-4902-bc1,,JSL054902-50,50,13820,0.8194,,-180.6,-186.1,-16.3,1600,40,2006,1167,,,,1061,1254,95,1158
sav-4902-bc1,,JSL054902-75,75,22120,0.7595,,-240.5,-245.6,-16.2,2210,50,2006,1809,,,,1684,1935,95,1810
sav-4902-bc1,,JSL054902-100,100,31180,0.768,,-232,-237.1,-16.6,2120,40,2006,1704,,,,1588,1814,95,1701
sav-4902-bc1,,JSL054902-147,147,44920,0.7298,,-270.2,-275.1,-17.8,2530,40,2006,2206,,,,2097,2308,95,2203
