Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed,calib age,AD,yrmin clam,yrmax clam,prob,median,,
stet-4904-bc1-d5,N105015,STET 6.6A,6.6,7503,0.8330,0.002922095,-167.0,,-15.0,1470,30,2013,,,931,1107,95,1019,,
stet-4904-bc1-d5,N105016,STET 6.6B,6.6,7503,0.8364,0.002932969,-163.6,,-15.0,1435,30,2013,,,912,1054,95,983,,
stet-4904-bc1-d5,N105017,STET 6.33A,6.33,8016,0.8352,0.002935104,-164.8,,-15.0,1445,30,2013,,,916,1066,95,991,,
stet-4904-bc1-d5,N105018,STET 6.33B,6.33,8016,0.8354,0.002934269,-164.6,,-15.0,1445,30,2013,,,916,1066,95,991,,
stet-4904-bc1-d5,N105019,STET 7.67,7.67,9507,0.7973,0.003063056,-202.7,,-15.0,1820,35,2013,,,1284,1463,95,1374,,
stet-4904-bc1-d5,N105020,STET 7.94,7.94,10011,0.8067,0.002830647,-193.3,,-15.0,1725,30,2013,,,1218,1344,95,1281,,
stet-4904-bc1-d5,N105021,STET 7.123,7.123,10533,0.8441,0.002960407,-155.9,,-15.0,1360,30,2013,,,810,975,95,893,,
stet-4904-bc1-d5,N105022,STET 7.149,7.149,11001,0.8421,0.00295373,-157.9,,-15.0,1380,30,2013,,,841,1012,95,927,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STET-JSL05-4904-BC1,,,,,,,,,,,,,,,,,,,,
Stetson Black Coral,,,,DOC,,,,,,,,,,,,,,,,
Sample,,Radius,Depth,38652,,,,,,,,,,,,,,,,
,,11,685.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Chuck Holme's Data from BetaAnalytic,,,,,,,,,,,,,,,,,,,,
BetaNumber,,Reportcreated,Service,PT_Material,MeasuredAge,c13_DAT,ConventionalAge,2sigmaCal,DeltaR,distance (microns),,,,,,,,,,
Beta-233770,,39332,AMS-Standard delivery,(chitin): acid/alkali/acid, 110.6 +/- 0.5 pMC,-16.7 o/oo, 108.8 +/- 0.5 pMC,Outside Calibration Range,Calibrated as M  Delta-R = 0 +/- 0,0,,,,,,,,,,
Beta-233771,,39332,AMS-Standard delivery,(chitin): acid/alkali/acid, 430 +/- 40 BP,-16.0 o/oo, 580 +/- 40 BP,Cal AD 1660 to 1830 (Cal BP 290 to 120),Calibrated as M  Delta-R = 0 +/- 0,2750,,,,,,,,,,
Beta-233772,,39332,AMS-Standard delivery,(chitin): acid/alkali/acid, 1390 +/- 40 BP,-15.7 o/oo, 1540 +/- 40 BP,Cal AD 770 to 960 (Cal BP 1180 to 1000),Calibrated as M  Delta-R = 0 +/- 0,5500,,,,,,,,,,
Beta-233773,,39332,AMS-Standard delivery,(chitin): acid/alkali/acid, 1410 +/- 40 BP,-15.0 o/oo, 1570 +/- 40 BP,Cal AD 720 to 910 (Cal BP 1230 to 1040),Calibrated as M  Delta-R = 0 +/- 0,8250,,,,,,,,,,
Beta-233774,,39332,AMS-Standard delivery,(chitin): acid/alkali/acid, 1770 +/- 40 BP,-16.6 o/oo, 1910 +/- 40 BP,Cal AD 410 to 590 (Cal BP 1540 to 1360),Calibrated as M  Delta-R = 0 +/- 0,11000,,,,,,,,,,
