depth	min95%	max95%	best	accrate
0	469	874	685	-0.00063605948428297
0.03821631	492	750	625	0.0018930789035287
0.236037413	669	815	730	0.000416356134383106
0.374164144	1000	1133	1062	0.000477536674816626
0.541138191	1340	1516	1411	0.00176369953614702
0.679264923	1414	1580	1490	-0.0109793588054458
0.773805829	1401	1567	1481	-0.00599772086607089
0.804652884	1392	1563	1476	-0.0130924325739722
0.866346995	1382	1563	1471	0.00469043151969981
0.933410621	1403	1568	1485	0.00184679027849597
1	1446	1601	1522	0.0014546089283896
1.018582531	1459	1614	1534	0.00130866071662261
1.080276642	1500	1665	1581	0.00125037511253376
1.105754182	1517	1688	1602	0.00126435037677641
1.131231723	1534	1715	1622	0.00148240386610928
1.229142404	1586	1793	1688	0.00218026424802686
1.259989459	1600	1805	1702	0.00329077267342372
1.32168357	1624	1818	1721	0.00533617929562433
1.352530625	1633	1818	1727	0.00945805353258299
1.463180076	1655	1822	1738	0.00944733112895607
1.494027132	1659	1825	1742	0.00591715976331361
1.555721242	1674	1833	1752	0.0034611657206147
1.599307068	1690	1848	1765	0.00180277627546421
1.779019885	1791	1948	1864	0.00151632321945746
1.82260571	1817	1987	1893	0.00175395516890588
1.951363447	1891	2057	1967	0.00235343955190511
2	1914	2070	1987	0.00266688001706803
2.013057557	1919	2073	1992	0.00302388872089507
2.056643383	1927	2080	2006	0.00388968843595628
2.110968238	1934	2102	2020	0.00668181210744354
2.21087866	1936	2131	2035	0.0175070028011204
2.28531154	1939	2131	2040	0.0298775022408127
2.298050311	1941	2130	2040	0.034106412005457
2.334266881	1948	2128	2041	0.0307597662257767
2.370483451	1952	2129	2042	0.013022528975127
2.475763387	1960	2136	2050	0.00503752959548637
2.557565523	1971	2161	2067	0.00226177821002872
2.847927792	2108	2271	2195	0.00229885057471264
2.916991157	2136	2301	2225	0.00299266796348945
2.986054523	2154	2327	2248	0.00394960306489198
3	2157	2329	2252	0.00426439232409382
3.004162808	2158	2330	2253	0.00511064547452343
3.040379379	2164	2339	2260	0.0146305779078274
3.17850611	2173	2345	2269	-0.0644329896907217
3.234830706	2171	2342	2268	-0.0363768643142961
3.291155302	2166	2339	2267	-0.124843945068664
3.370957698	2158	2335	2266	0.00753522718709969
3.552670255	2196	2353	2290	0.00328601472134595
3.627103136	2236	2379	2313	0.00290782204129107
3.645211421	2247	2388	2319	0.00279446695542825
3.676058476	2262	2403	2330	0.00271731746419934
3.824924238	2312	2487	2385	0.00301431801055011
3.893987604	2323	2525	2408	0.00341029226204686
4	2338	2583	2439	0.00392942748241581
4.081069676	2350	2609	2460	0.00505586733404116
4.304368318	2382	2648	2504	0.00751597143930853
4.48071136	2404	2660	2527	0.0121817517358996
4.693270973	2401	2668	2545	0.0189000189000189
4.749595568	2398	2671	2548	0.0229147571035747
4.793181394	2400	2674	2550	0.0345065562456867
4.931308126	2397	2679	2554	0.0557724484104852
4.949416411	2395	2681	2554	0.0727802037845706
5	2398	2682	2555	0.109649122807018
5.031218547	2400	2681	2555	1.85185185185185
5.187453564	2412	2678	2555	-0.153609831029186
5.231039389	2417	2675	2555	-0.091743119266055
5.478445537	2421	2674	2552	-0.0933706816059757
5.534770133	2419	2674	2551	-0.110132158590308
5.578355958	2416	2675	2551	-0.189393939393939
5.683635894	2413	2673	2550	2.77777777777778
5.73996049	2410	2670	2550	0.119904076738609
5.852609681	2405	2671	2551	0.0410846343467543
6	2413	2667	2555	0.0248447204968944
6.070538809	2420	2667	2558	0.0192307692307692
6.175818745	2436	2667	2563	0.016926201760325
6.188557515	2438	2666	2564	0.0152021891152326
6.306576222	2458	2668	2572	0.0123395853899309
6.629785285	2469	2694	2598	0.0110533878633801
6.936256098	2523	2705	2626	0.00987361769352291
6.954364384	2528	2705	2627	0.00949036727721363
7	2534	2707	2632	0.00870170553428472
7.079752345	2541	2709	2641	0.00534045393858478
7.604781991	2630	2803	2740	0.0039633783837343
7.748278238	2698	2848	2776	0.00392372282821941
7.786494548	2713	2859	2786	0.00400464538865083
7.92462128	2748	2911	2820	0.00423352101943186
8	2761	2939	2838	0.00504057664196784
8.249830084	2788	3007	2888	0.00658197854274995
8.30615468	2793	3019	2896	0.0191168036704263
8.709166139	2822	3023	2917	-0.00685072275125026
9	2660	3087	2875	NA
