lab_ID,C14_age,cal_age,error,reservoir,depth,thickness
surface,,-55,1,,0,0.1
080907SB-2B,580,,40,,2.8,0.1
080907SB-3B,1340,,40,,5.5,0.1
080907SB-4B,1540,,40,,8.3,0.1
080907SB-5B,1910,,40,,11.0,0.1
