depth,d15N,d13C
7.13,7.25,-15.26
7.16,7.33,-15.58
7.19,7.71,-15.78
7.22,8.06,-15.41
7.25,7.83,-15.34
7.28,7.66,-15.43
7.31,7.93,-15.74
7.34,7.79,-15.87
7.37,7.55,-16.1
7.40,7.65,-15.86
7.42,7.54,-15.77
7.45,7.92,-15.77
7.48,7.78,-16.01
7.51,8,-15.73
7.54,7.33,-15.95
7.57,7.8,-15.62
7.60,8.27,-15.51
7.63,7.86,-15.61
7.66,7.91,-14.91
7.69,7.83,-14.86
7.71,7.91,-15.14
7.74,9.79,-15
7.77,8.35,-15.31
7.80,8.19,-15.32
7.83,8.14,-15.29
7.86,7.87,-15.24
7.89,7.48,-15.56
7.92,7.68,-15.51
7.95,7.74,-15.61
7.98,7.81,-15.37
8.00,7.75,-15.62
8.03,7.99,-15.64
8.06,7.81,-15.86
8.09,7.38,-16.07
8.12,7.67,-16.08
8.15,7.57,-15.81
8.18,7.91,-15.57
8.21,7.53,-16.1
8.24,7.45,-15.84
8.27,7.67,-15.73
8.29,7.62,-15.78
8.32,7.17,-16.03
8.35,7.31,-15.99
8.38,6.87,-16.17
8.41,7.43,-15.65
8.44,7.89,-15.92
8.47,7.44,-15.97
8.50,7.6,-15.75
8.53,7.9,-16.03
8.56,7.74,-15.77
8.58,7.92,-15.52
8.61,8.15,-15.68
8.64,8.48,-15.49
8.67,8.01,-15.59
8.70,7.91,-15.6
8.73,7.69,-15.6
8.76,7.49,-15.99
8.79,7.27,-16.04
8.82,7.37,-15.84
8.85,7.75,-15.3
8.87,7,-16.1
8.90,7.25,-15.57
8.93,7.42,-15.82
8.96,7.12,-16.02
8.99,7.47,-15.62
9.02,7.6,-15.68
9.05,7.76,-15.68
9.08,7.81,-15.46
9.11,7.46,-16.05
9.14,7.48,-16.21
9.16,7.54,-16.13
9.19,7.97,-16.04
9.22,7.67,-15.85
9.25,7.8,-15.68
9.28,7.51,-15.88
9.31,7.72,-16.11
9.34,7.57,-15.68
9.37,7.4,-16.05
9.40,7.2,-15.95
9.43,6.63,-15.92
9.45,7.23,-15.64
9.48,7.45,-16.34
9.51,7.83,-16.04
9.54,7.76,-15.99
9.57,7.68,-15.76
9.60,7.11,-16.21
9.63,7.17,-15.72
9.66,7.31,-16.06
9.69,7.45,-15.67
9.72,6.81,-15.8
9.74,7.15,-16.16
9.77,7.25,-15.8
9.80,7.17,-15.9
9.83,8.7,-15.43
9.86,8.18,-15.59
9.89,8.79,-15.45
9.92,9.02,-15.34
9.95,8.84,-15.25
9.98,9.77,-15.24
10.01,9.5,-15.33
10.03,8.14,-15.26
10.06,8.88,-14.83
10.09,8.88,-14.98
10.12,7.62,-15.36
10.15,7.45,-15.71
10.18,8.21,-15.36
10.21,7.63,-15.55
10.24,8.25,-15.18
10.27,7.06,-15.63
