depth	min95%	max95%	best	accrate
1	632	762	681	43.17
2	677	800	724	43.15
3	721	839	767	43.09
4	767	877	810	42.97
5	809	917	853	42.8
6	852	957	896	42.58
7	894	996	938	42.31
8	935	1036	981	42.04
9	977	1081	1023	41.77
10	1016	1122	1065	41.51
11	1055	1161	1106	41.23
12	1093	1205	1147	40.92
13	1131	1248	1188	40.57
14	1167	1290	1229	40.19
15	1204	1332	1269	39.73
16	1240	1374	1309	39.21
17	1276	1416	1348	38.62
18	1311	1458	1387	37.96
19	1347	1500	1424	37.22
20	1380	1540	1462	36.42
21	1413	1579	1498	35.55
22	1445	1618	1534	34.62
23	1478	1655	1568	33.74
24	1511	1691	1602	32.96
25	1545	1725	1635	32.26
26	1576	1758	1667	31.65
27	1607	1790	1699	31.13
28	1637	1824	1730	30.7
29	1669	1855	1761	30.36
30	1700	1888	1791	30.11
31	1731	1919	1821	29.94
32	1763	1949	1851	29.8
33	1794	1982	1881	29.67
34	1827	2011	1911	29.55
35	1858	2040	1940	29.45
36	1888	2069	1970	29.35
37	1918	2098	1999	29.26
38	1948	2128	2028	29.19
39	1978	2156	2057	29.13
40	2009	2186	2087	29.07
41	2039	2215	2116	29.03
42	2066	2242	2145	29
43	2095	2270	2174	28.98
44	2124	2299	2203	28.97
45	2152	2328	2232	NA
