lab_ID,C14_age,cal_age,error,reservoir,depth,thickness
9,1100,,40,,1.69,0.02
25,1500,,50,,7.2,0.02
35,1460,,40,,9.91,0.02
50,1600,,40,,13.82,0.02
75,2210,,50,,22.12,0.02
100,2120,,40,,31.18,0.02
147,2530,,40,,44.92,0.02
