depth,d15N,d13C
0.34,8.9,-16.1
0.52,9.2,-16
0.68,8.3,-15.8
0.85,8.3,-16
1.18,9.6,-15.9
1.3,9,-16.2
1.54,9.5,-15.8
1.69,8.9,-15.9
1.87,9.2,-16.1
2.38,9.7,-16
2.86,10.5,-15.5
3.51,8.8,-15.8
4.4,10,-15.8
4.7,9.7,-15.6
5.15,10.3,-15.6
5.65,10.2,-15.2
5.82,9.9,-16
5.95,10.2,-15.5
6.13,10.4,-15.9
6.74,10.3,-15
6.92,9.6,-15.7
7.04,9.5,-16
7.2,10.4,-15.4
7.32,10.5,-15.9
7.64,9.3,-16.1
7.93,9.9,-15.7
8.64,10,-16.2
8.85,10.8,-15.3
9.05,10.9,-15.1
9.11,9.3,-15.9
9.54,9.8,-15.8
9.83,9.2,-15.4
9.91,9.3,-15.7
10.19,9.6,-15.9
10.37,10.3,-15.4
10.43,9.9,-15.4
10.55,9.3,-15.7
10.65,9.1,-16.3
10.74,8.2,-16.1
11.44,9.6,-15.5
11.8,9.1,-15.7
12.05,9.6,-15.8
12.33,9.6,-16
12.81,8.7,-15.7
13.11,9.2,-16
13.45,9.4,-16
13.82,9.2,-15.8
14.14,9.9,-16
14.66,9.9,-15.5
15.52,8.8,-16
15.74,9,-16.3
16.02,8.3,-16
16.18,9.1,-15.4
16.8,8.4,-16
17.08,7.9,-16.2
17.24,8.7,-16
17.36,9.1,-15.7
17.56,8.3,-15.8
17.7,9.1,-15.7
17.84,8.6,-15.9
18.01,8.4,-16
18.28,8.3,-16.1
18.56,8.2,-16.1
18.68,7.9,-16
18.9,8.7,-15.9
19.39,8.5,-16.5
20.34,8.5,-15.6
20.94,8.8,-16.2
21.24,8.5,-15.6
21.66,8.4,-15.8
22.12,9.1,-15.5
22.26,8.9,-15.9
23.42,9,-15.7
24.45,9.8,-15.5
24.79,9.3,-15.9
25.09,9,-16.4
25.33,9.7,-15.6
25.53,8.5,-16.3
25.68,9.7,-15.6
25.92,10.1,-15.2
26.26,8.5,-15.7
26.79,7.6,-16.3
27.48,7.9,-16.1
28.19,8,-16
28.38,8.5,-16.3
28.58,9,-16.3
28.73,9.1,-16.2
29.05,8.3,-15.9
29.45,8.7,-16.3
29.65,9.3,-16.1
29.77,9.3,-16
30.08,9,-15.7
30.29,8.9,-16
30.65,8.9,-16.2
30.82,9,-16.1
31.57,9.3,-16.3
31.72,8.5,-16.3
31.82,8.5,-16.6
32.4,8.6,-16
32.9,8.8,-15.9
33.11,8.1,-16.6
33.33,8.1,-16.4
33.46,8.6,-16.4
33.86,8.4,-16.3
34.01,7.9,-16.7
34.36,8.4,-16.3
34.63,8.1,-16.5
34.95,9.2,-16.4
35,8.7,-16.7
35.33,8.6,-16.3
35.49,8.4,-16.3
35.62,8.4,-16.5
35.74,9.1,-15.9
36.27,7.8,-15.9
36.65,8,-16.3
36.81,7.9,-15.9
36.93,7.4,-15.9
37.12,8.7,-15.5
37.6,8.2,-15.8
37.71,8.5,-15.6
38.8,9,-15.3
38.93,8.9,-16.1
39.34,8.5,-17.5
39.78,8.2,-16.8
39.89,8.2,-16.2
40.08,8.8,-16.7
40.4,9.2,-16.3
40.68,9.3,-16.8
40.89,9.3,-16.9
41.19,9,-17.5
41.59,8.7,-17.3
42.17,9.3,
42.49,8.8,-17.7
43.1,9,-16.8
43.32,8.7,-16
43.65,8,-16.3
43.88,8.2,-17.5
44.04,7.6,-17.9
44.45,7.5,-18.8
44.92,8.5,-17.4
