depth	min95%	max95%	best	accrate
0	-37	80	-15	126.18
1	92	191	111	126.18
2	214	303	237	126.18
3	335	418	363	126.18
4	455	538	490	126.18
5	575	673	616	126.18
6	694	811	742	126.18
7	813	949	868	126.18
8	931	1086	994	126.18
9	1048	1224	1121	126.18
10	1163	1361	1247	126.18
11	1279	1500	1373	126.18
12	1396	1640	1499	NA
