depth	min95%	max95%	best	acc.rate
6.58	866	926	898	91.96
6.61	869	929	900	91.48
6.64	871	932	903	91
6.67	874	935	906	90.52
6.7	876	938	909	90.04
6.73	879	941	911	89.57
6.76	881	944	914	89.1
6.79	884	947	917	88.64
6.82	886	950	919	88.25
6.84	888	953	921	87.87
6.87	890	955	924	87.41
6.9	893	959	926	86.96
6.93	895	962	929	86.51
6.96	897	965	932	86.07
6.99	900	968	934	85.77
7.02	902	971	937	85.18
7.05	905	974	939	84.75
7.08	907	977	942	84.31
7.11	909	980	944	83.95
7.13	911	982	946	83.59
7.16	913	985	949	83.16
7.19	915	988	951	82.74
7.22	918	991	954	82.31
7.25	920	994	956	81.89
7.28	922	996	958	81.47
7.31	924	999	961	81.05
7.34	927	1002	963	80.63
7.37	929	1005	966	80.22
7.4	931	1008	968	79.88
7.42	933	1010	970	79.53
7.45	935	1013	972	79.13
7.48	937	1016	975	78.72
7.51	939	1019	977	78.32
7.54	940	1022	979	77.92
7.57	942	1025	982	77.52
7.6	944	1028	984	77.12
7.63	946	1031	986	76.73
7.66	948	1034	989	76.34
7.69	950	1037	991	76.02
7.71	951	1039	992	75.69
7.74	953	1042	995	75.31
7.77	955	1044	997	74.93
7.8	957	1048	999	74.55
7.83	959	1051	1001	74.18
7.86	961	1054	1004	73.8
7.89	963	1057	1006	73.43
7.92	965	1060	1008	73.07
7.95	967	1063	1010	72.7
7.98	968	1065	1012	72.4
8	969	1067	1014	72.1
8.03	971	1070	1016	71.74
8.06	973	1073	1018	71.38
8.09	975	1076	1020	71.03
8.12	977	1078	1022	70.68
8.15	978	1081	1025	70.33
8.18	980	1084	1027	69.98
8.21	982	1087	1029	69.63
8.24	983	1090	1031	69.29
8.27	985	1093	1033	69
8.29	986	1095	1034	68.72
8.32	988	1098	1036	68.38
8.35	989	1101	1038	68.04
8.38	991	1104	1040	67.7
8.41	992	1107	1042	67.37
8.44	994	1110	1044	67.04
8.47	996	1113	1046	66.71
8.5	997	1116	1048	66.38
8.53	999	1119	1050	66.06
8.56	1000	1122	1052	65.79
8.58	1001	1124	1054	65.52
8.61	1002	1127	1056	65.2
8.64	1004	1130	1058	64.88
8.67	1006	1133	1060	64.56
8.7	1007	1136	1062	64.25
8.73	1009	1139	1064	63.93
8.76	1010	1142	1065	63.62
8.79	1012	1144	1067	63.31
8.82	1013	1147	1069	63.01
8.85	1014	1150	1071	62.75
8.87	1015	1152	1072	62.5
8.9	1017	1155	1074	62.2
8.93	1018	1158	1076	61.9
8.96	1019	1160	1078	61.6
8.99	1021	1163	1080	61.41
9.02	1022	1166	1082	61.01
9.05	1024	1168	1084	60.72
9.08	1025	1171	1085	60.43
9.11	1026	1174	1087	60.14
9.14	1027	1177	1089	59.91
9.16	1028	1179	1090	59.67
9.19	1030	1181	1092	59.39
9.22	1031	1184	1094	59.11
9.25	1033	1187	1095	58.83
